scenario,controller,station,block,completed,total_tasks,deadline_misses,tardiness,idle_blocks,busy_blocks,crane_blocks,cancellations,starts,mismatch_blocks,aborted_blocks,makespan,cost,cost_idle,cost_cancel,cost_tardy,cost_mismatch,cost_restart,tuned_param
base,operating_limit,258,0,10,10,3,14,52,8,60,3,13,1,1,33,7.99,1.0400000000000005,1.5,4.2,1.0,0.25,
base,operating_limit,258,1,10,10,2,10,51,9,60,1,11,0,0,20,4.5200000000000005,1.0200000000000005,0.5,3.0,0.0,0.0,
base,operating_limit,258,2,10,10,0,0,51,9,60,2,12,1,1,26,3.2700000000000005,1.0200000000000005,1.0,0.0,1.0,0.25,
base,operating_limit,258,3,10,10,0,0,50,10,60,0,10,0,0,12,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,258,4,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,258,5,10,10,0,0,51,9,60,1,11,0,0,12,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,258,6,10,10,0,0,49,11,60,0,10,1,1,12,2.2300000000000004,0.9800000000000005,0.0,0.0,1.0,0.25,
base,operating_limit,258,7,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,258,8,10,10,0,0,47,13,60,0,10,3,3,14,4.69,0.9400000000000005,0.0,0.0,3.0,0.75,
base,operating_limit,258,9,10,10,0,0,48,12,60,4,14,6,6,38,10.46,0.9600000000000005,2.0,0.0,6.0,1.5,
base,operating_limit,258,10,10,10,0,0,52,8,60,3,13,1,1,26,3.7900000000000005,1.0400000000000005,1.5,0.0,1.0,0.25,
base,operating_limit,258,11,10,10,0,0,49,11,60,2,12,3,3,25,5.73,0.9800000000000005,1.0,0.0,3.0,0.75,
base,operating_limit,258,12,10,10,0,0,43,17,60,0,10,7,7,18,9.61,0.8600000000000004,0.0,0.0,7.0,1.75,
base,operating_limit,258,13,10,10,0,0,47,13,60,0,10,3,3,14,4.69,0.9400000000000005,0.0,0.0,3.0,0.75,
base,operating_limit,258,14,10,10,0,0,48,12,60,0,10,2,2,15,3.4600000000000004,0.9600000000000005,0.0,0.0,2.0,0.5,
base,operating_limit,258,15,10,10,0,0,42,18,60,0,10,8,8,19,10.84,0.8400000000000004,0.0,0.0,8.0,2.0,
base,operating_limit,258,16,10,10,0,0,50,10,60,1,11,1,1,14,2.7500000000000004,1.0000000000000004,0.5,0.0,1.0,0.25,
base,operating_limit,260,0,10,10,4,15,52,8,60,2,12,0,0,27,6.540000000000001,1.0400000000000005,1.0,4.5,0.0,0.0,
base,operating_limit,260,1,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,260,2,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,260,3,10,10,0,0,48,12,60,0,10,2,2,13,3.4600000000000004,0.9600000000000005,0.0,0.0,2.0,0.5,
base,operating_limit,260,4,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,260,5,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,260,6,10,10,0,0,51,9,60,1,11,0,0,15,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,260,7,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,260,8,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,260,9,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,260,10,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,260,11,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,260,12,10,10,0,0,48,12,60,0,10,2,2,13,3.4600000000000004,0.9600000000000005,0.0,0.0,2.0,0.5,
base,operating_limit,260,13,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,260,14,10,10,0,0,49,11,60,1,11,2,2,16,3.9800000000000004,0.9800000000000005,0.5,0.0,2.0,0.5,
base,operating_limit,260,15,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,260,16,10,10,1,5,51,9,60,2,12,1,1,21,4.7700000000000005,1.0200000000000005,1.0,1.5,1.0,0.25,
base,operating_limit,267,0,10,10,0,0,49,11,60,2,12,3,3,32,5.73,0.9800000000000005,1.0,0.0,3.0,0.75,
base,operating_limit,267,1,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,267,2,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,267,3,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,267,4,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,267,5,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,267,6,10,10,3,8,48,12,60,1,11,3,3,19,7.61,0.9600000000000005,0.5,2.4,3.0,0.75,
